,Date,EnteroCount
0,1/11/2011,68
1,1/12/2010,266
2,1/19/2010,598
3,1/26/2010,85
4,1/27/2009,987
5,1/3/2011,548
6,1/3/2012,613
7,1/5/2010,794
8,10/10/2012,<10
9,10/11/2006,269
10,10/11/2012,<10
11,10/12/2006,305
12,10/12/2008,<10
13,10/12/2010,>24196
14,10/13/2006,1500
15,10/13/2009,517
16,10/13/2010,>24196
17,10/13/2012,8
18,10/14/2006,1090
19,10/14/2010,67
20,10/14/2012,7
21,10/15/2006,320
22,10/15/2008,20
23,10/15/2010,>2420
24,10/15/2012,81
25,10/16/2010,>2420
26,10/16/2011,>2420
27,10/16/2013,<10
28,10/17/2006,200
29,10/17/2011,613
30,10/17/2012,14
31,10/17/2013,<10
32,10/18/2006,73
33,10/18/2010,379
34,10/18/2011,76
35,10/18/2012,3
36,10/18/2013,365
37,10/19/2006,1500
38,10/19/2008,<10
39,10/19/2009,<10
40,10/19/2013,9
41,10/2/2006,1433
42,10/20/2006,34
43,10/20/2008,<10
44,10/20/2009,<10
45,10/20/2011,<10
46,10/20/2013,<1
47,10/21/2008,<10
48,10/21/2009,9
49,10/21/2011,<10
50,10/21/2013,9
51,10/22/2008,<1
52,10/22/2009,<1
53,10/23/2008,<1
54,10/23/2009,9
55,10/25/2010,365
56,10/27/2009,161
57,10/27/2012,76
58,10/28/2006,1500
59,10/29/2009,>24196
60,10/3/2006,773
61,10/31/2006,147
62,10/4/2010,763
63,10/6/2006,824
64,10/6/2009,31
65,10/6/2012,>2420
66,10/9/2009,<10
67,11/1/2010,2755
68,11/10/2006,92
69,11/10/2009,908
70,11/16/2010,933
71,11/17/2009,624
72,11/22/2010,435
73,11/23/2009,292
74,11/29/2010,4106
75,11/4/2009,1904
76,11/6/2011,<10
77,11/6/2012,97
78,11/7/2011,400
79,11/8/2010,63
80,11/8/2012,>24196
81,12/1/2009,1300
82,12/10/2012,880
83,12/13/2006,46
84,12/13/2010,>2420
85,12/15/2009,770
86,12/20/2010,546
87,12/21/2009,411
88,12/28/2009,959
89,12/29/2010,162
90,12/5/2011,<10
91,12/6/2006,75
92,12/6/2010,461
93,12/8/2009,435
94,2/11/2009,930
95,2/15/2010,88
96,2/16/2009,7
97,2/2/2010,605
98,2/22/2010,261
99,2/26/2009,210
100,2/5/2009,75
101,2/6/2009,290
102,2/6/2012,448
103,2/7/2011,990
104,2/8/2010,473
105,3/1/2010,583
106,3/10/2009,213
107,3/17/2009,50
108,3/17/2010,88
109,3/22/2010,144
110,3/25/2009,7
111,3/29/2010,3255
112,3/31/2009,336
113,3/5/2009,9
114,3/5/2012,9
115,3/7/2011,>2420
116,3/8/2010,441
117,4/12/2010,816
118,4/13/2009,473
119,4/18/2007,<10
120,4/19/2010,345
121,4/22/2009,649
122,4/25/2007,86
123,4/26/2010,>2420
124,4/29/2009,48
125,4/4/2011,327
126,4/6/2010,74
127,4/8/2009,364
128,4/9/2012,657
129,5/10/2010,75
130,5/12/2008,231
131,5/12/2009,<10
132,5/12/2012,770
133,5/13/2009,<10
134,5/14/2009,<1
135,5/15/2009,9
136,5/15/2012,>24196
137,5/16/2008,>24196
138,5/16/2009,84
139,5/16/2011,>24196
140,5/16/2012,<10
141,5/17/2007,717
142,5/17/2009,9
143,5/17/2010,<10
144,5/17/2011,>24196
145,5/18/2011,>2420
146,5/18/2012,<1
147,5/19/2008,<10
148,5/19/2009,<10
149,5/19/2011,>2420
150,5/19/2012,9
151,5/2/2011,557
152,5/20/2008,6
153,5/20/2012,96
154,5/21/2007,<10
155,5/21/2008,<1
156,5/21/2010,<10
157,5/22/2008,<1
158,5/22/2010,<10
159,5/23/2007,8
160,5/23/2010,<1
161,5/24/2010,<1
162,5/25/2010,<1
163,5/26/2012,52
164,5/27/2009,20
165,5/29/2007,83
166,5/29/2008,15
167,5/29/2009,17329
168,5/3/2010,>2420
169,5/30/2007,21
170,5/30/2013,<10
171,5/31/2007,8
172,5/31/2013,<10
173,5/5/2009,219
174,6/1/2007,12
175,6/1/2010,63
176,6/1/2013,9
177,6/10/2009,<1
178,6/10/2010,882
179,6/11/2007,99
180,6/11/2009,9
181,6/11/2012,<10
182,6/12/2007,1500
183,6/12/2008,1046
184,6/12/2009,87
185,6/12/2012,<10
186,6/13/2009,85
187,6/14/2011,>2420
188,6/14/2012,<1
189,6/15/2010,<10
190,6/15/2012,8
191,6/16/2008,7
192,6/16/2009,528
193,6/16/2010,<10
194,6/16/2012,<1
195,6/17/2008,6
196,6/17/2010,6
197,6/18/2007,<10
198,6/18/2008,9
199,6/18/2009,>24196
200,6/18/2010,91
201,6/19/2008,59
202,6/19/2009,160
203,6/19/2012,6
204,6/19/2013,<10
205,6/2/2007,18
206,6/2/2011,921
207,6/2/2012,>2420
208,6/2/2013,>2420
209,6/20/2007,<10
210,6/20/2008,5
211,6/20/2013,<10
212,6/21/2010,1046
213,6/21/2013,28
214,6/22/2009,<10
215,6/22/2013,86
216,6/23/2009,<10
217,6/23/2013,42
218,6/24/2008,<10
219,6/24/2013,91
220,6/25/2007,149
221,6/25/2008,86
222,6/26/2007,1500
223,6/26/2012,>2420
224,6/27/2007,22
225,6/27/2011,<10
226,6/28/2007,9
227,6/28/2010,84
228,6/28/2011,<10
229,6/29/2007,1500
230,6/29/2009,<10
231,6/29/2011,727
232,6/3/2007,40
233,6/3/2010,<10
234,6/3/2013,89
235,6/30/2011,86
236,6/30/2012,4
237,6/4/2007,1500
238,6/4/2009,>2420
239,6/4/2013,>2420
240,6/5/2007,200
241,6/5/2008,1300
242,6/5/2009,>24196
243,6/6/2007,72
244,6/6/2009,<10
245,6/7/2007,18
246,6/8/2007,46
247,6/8/2009,<10
248,6/8/2010,>2420
249,6/9/2007,121
250,6/9/2008,457
251,6/9/2009,91
252,7/1/2008,41
253,7/1/2011,8
254,7/10/2007,250
255,7/10/2008,387
256,7/11/2007,<10
257,7/11/2008,<10
258,7/12/2007,1200
259,7/13/2009,261
260,7/14/2008,>24196
261,7/14/2011,82
262,7/14/2012,>2420
263,7/15/2008,<10
264,7/15/2009,<10
265,7/15/2011,<1
266,7/16/2007,83
267,7/16/2008,<1
268,7/16/2011,<1
269,7/16/2012,<10
270,7/17/2008,9
