,Date,EnteroCount
0,1/11/2011,804.5
1,1/12/2010,213.5
2,1/19/2010,557.5
3,1/26/2010,592.6666666666666
4,1/27/2009,502.0
5,1/3/2011,791.0
6,1/3/2012,1214.6666666666667
7,1/5/2010,1390.0
8,10/10/2012,498.6363636363636
9,10/11/2006,269.0
10,10/11/2012,62.4
11,10/12/2006,305.0
12,10/12/2008,
13,10/12/2010,263.1666666666667
14,10/13/2006,1500.0
15,10/13/2009,279.0
16,10/13/2010,102.1
17,10/13/2012,7.5
18,10/14/2006,1090.0
19,10/14/2010,76.625
20,10/14/2012,18.736842105263158
21,10/15/2006,320.0
22,10/15/2008,20.0
23,10/15/2010,267.1111111111111
24,10/15/2012,100.58823529411765
25,10/16/2010,722.2
26,10/16/2011,1550.0
27,10/16/2013,44.583333333333336
28,10/17/2006,919.3333333333334
29,10/17/2011,325.2
30,10/17/2012,14.0
31,10/17/2013,58.0
32,10/18/2006,618.7333333333333
33,10/18/2010,1056.0
34,10/18/2011,79.46153846153847
35,10/18/2012,3.0
36,10/18/2013,77.83333333333333
37,10/19/2006,1500.0
38,10/19/2008,13.333333333333334
39,10/19/2009,89.0
40,10/19/2013,7.4
41,10/2/2006,1433.0
42,10/20/2006,40.2
43,10/20/2008,14.166666666666666
44,10/20/2009,186.27272727272728
45,10/20/2011,153.78571428571428
46,10/20/2013,15.0
47,10/21/2008,973.2727272727273
48,10/21/2009,44.875
49,10/21/2011,400.2352941176471
50,10/21/2013,41.5
51,10/22/2008,19.75
52,10/22/2009,7.538461538461538
53,10/23/2008,7.722222222222222
54,10/23/2009,16.705882352941178
55,10/25/2010,990.5
56,10/27/2009,682.0
57,10/27/2012,53.5
58,10/28/2006,1387.5
59,10/29/2009,167.5
60,10/3/2006,773.0
61,10/31/2006,147.0
62,10/4/2010,467.0
63,10/6/2006,824.0
64,10/6/2009,665.5
65,10/6/2012,30.5
66,10/9/2009,15.0
67,11/1/2010,1502.0
68,11/10/2006,275.2857142857143
69,11/10/2009,617.0
70,11/16/2010,710.5
71,11/17/2009,375.0
72,11/22/2010,834.5
73,11/23/2009,276.0
74,11/29/2010,2216.0
75,11/4/2009,1029.0
76,11/6/2011,
77,11/6/2012,111.66666666666667
78,11/7/2011,224.0
79,11/8/2010,1526.6666666666667
80,11/8/2012,488.70588235294116
81,12/1/2009,1267.0
82,12/10/2012,1200.3333333333333
83,12/13/2006,262.25
84,12/13/2010,984.0
85,12/15/2009,641.0
86,12/20/2010,370.0
87,12/21/2009,1067.0
88,12/28/2009,1109.6666666666667
89,12/29/2010,747.5
90,12/5/2011,322.0
91,12/6/2006,77.42857142857143
92,12/6/2010,563.0
93,12/8/2009,770.5
94,2/11/2009,474.5
95,2/15/2010,339.5
96,2/16/2009,173.5
97,2/2/2010,326.5
98,2/22/2010,990.5
99,2/26/2009,110.0
100,2/5/2009,39.0
101,2/6/2009,290.0
102,2/6/2012,227.66666666666666
103,2/7/2011,458.0
104,2/8/2010,292.0
105,3/1/2010,360.5
106,3/10/2009,112.5
107,3/17/2009,151.5
108,3/17/2010,425.0
109,3/22/2010,738.5
110,3/25/2009,143.5
111,3/29/2010,2404.0
112,3/31/2009,174.0
113,3/5/2009,175.0
114,3/5/2012,110.33333333333333
115,3/7/2011,1624.0
116,3/8/2010,168.33333333333334
117,4/12/2010,447.5
118,4/13/2009,242.5
119,4/18/2007,458.75
120,4/19/2010,290.5
121,4/22/2009,426.0
122,4/25/2007,266.77777777777777
123,4/26/2010,243.0
124,4/29/2009,78.0
125,4/4/2011,194.33333333333334
126,4/6/2010,283.3333333333333
127,4/8/2009,187.5
128,4/9/2012,236.0
129,5/10/2010,512.0
130,5/12/2008,231.0
131,5/12/2009,21.272727272727273
132,5/12/2012,770.0
133,5/13/2009,141.23076923076923
134,5/14/2009,18.904761904761905
135,5/15/2009,49.1578947368421
136,5/15/2012,65.63636363636364
137,5/16/2008,10.0
138,5/16/2009,23.0
139,5/16/2011,233.5
140,5/16/2012,22.555555555555557
141,5/17/2007,775.3333333333334
142,5/17/2009,338.14285714285717
143,5/17/2010,411.0
144,5/17/2011,1625.8125
145,5/18/2011,189.25
146,5/18/2012,7.0
147,5/19/2008,84.66666666666667
148,5/19/2009,73.0
149,5/19/2011,604.1538461538462
150,5/19/2012,41.2
151,5/2/2011,246.0
152,5/20/2008,218.46153846153845
153,5/20/2012,59.333333333333336
154,5/21/2007,32.5
155,5/21/2008,87.17647058823529
156,5/21/2010,27.714285714285715
157,5/22/2008,17.76923076923077
158,5/22/2010,21.5
